Date,Price,Car Type,Avg Price,Last 30 days,Last 90 days,YoY Change
04-15-2012,37196.572795542634,CarGurus Index,27048,-0.8,-3.07,-4.4
06-14-2012,37439.26930386318,CarGurus Index,27048,-0.8,-3.07,-4.4
08-13-2012,35106.99932164346,CarGurus Index,27048,-0.8,-3.07,-4.4
10-12-2012,34088.575699265675,CarGurus Index,27048,-0.8,-3.07,-4.4
12-11-2012,33232.67042666286,CarGurus Index,27048,-0.8,-3.07,-4.4
02-09-2013,32383.51904091989,CarGurus Index,27048,-0.8,-3.07,-4.4
04-10-2013,30800.35750407586,CarGurus Index,27048,-0.8,-3.07,-4.4
06-09-2013,28959.23744146553,CarGurus Index,27048,-0.8,-3.07,-4.4
08-08-2013,28287.657247784766,CarGurus Index,27048,-0.8,-3.07,-4.4
10-07-2013,27476.607865748338,CarGurus Index,27048,-0.8,-3.07,-4.4
12-06-2013,26677.47956450508,CarGurus Index,27048,-0.8,-3.07,-4.4
02-04-2014,26362.409069911184,CarGurus Index,27048,-0.8,-3.07,-4.4
04-05-2014,26143.433892522284,CarGurus Index,27048,-0.8,-3.07,-4.4
06-04-2014,26395.090105888055,CarGurus Index,27048,-0.8,-3.07,-4.4
08-03-2014,25830.725034148352,CarGurus Index,27048,-0.8,-3.07,-4.4
10-02-2014,25186.7665550496,CarGurus Index,27048,-0.8,-3.07,-4.4
12-01-2014,24677.618342529895,CarGurus Index,27048,-0.8,-3.07,-4.4
01-30-2015,24723.580930349544,CarGurus Index,27048,-0.8,-3.07,-4.4
03-31-2015,24803.686429133388,CarGurus Index,27048,-0.8,-3.07,-4.4
05-30-2015,25154.674122718974,CarGurus Index,27048,-0.8,-3.07,-4.4
07-29-2015,24991.988587517077,CarGurus Index,27048,-0.8,-3.07,-4.4
09-27-2015,24922.289284637514,CarGurus Index,27048,-0.8,-3.07,-4.4
11-26-2015,24670.58845059707,CarGurus Index,27048,-0.8,-3.07,-4.4
01-25-2016,24445.085327217523,CarGurus Index,27048,-0.8,-3.07,-4.4
03-25-2016,24049.023927745253,CarGurus Index,27048,-0.8,-3.07,-4.4
05-24-2016,23985.265142056793,CarGurus Index,27048,-0.8,-3.07,-4.4
07-23-2016,23939.175664574814,CarGurus Index,27048,-0.8,-3.07,-4.4
09-21-2016,23889.25942584078,CarGurus Index,27048,-0.8,-3.07,-4.4
11-20-2016,23779.365231224503,CarGurus Index,27048,-0.8,-3.07,-4.4
01-19-2017,23611.701648851224,CarGurus Index,27048,-0.8,-3.07,-4.4
03-20-2017,23263.235718522348,CarGurus Index,27048,-0.8,-3.07,-4.4
05-19-2017,23189.697146315695,CarGurus Index,27048,-0.8,-3.07,-4.4
07-18-2017,23147.693510111396,CarGurus Index,27048,-0.8,-3.07,-4.4
09-16-2017,23252.36605913573,CarGurus Index,27048,-0.8,-3.07,-4.4
11-15-2017,23540.783020453306,CarGurus Index,27048,-0.8,-3.07,-4.4
01-14-2018,23347.52564768548,CarGurus Index,27048,-0.8,-3.07,-4.4
03-15-2018,22970.786567583218,CarGurus Index,27048,-0.8,-3.07,-4.4
05-14-2018,22979.11920095141,CarGurus Index,27048,-0.8,-3.07,-4.4
07-13-2018,23043.98446250318,CarGurus Index,27048,-0.8,-3.07,-4.4
09-11-2018,22896.60416475689,CarGurus Index,27048,-0.8,-3.07,-4.4
11-10-2018,23009.652344714425,CarGurus Index,27048,-0.8,-3.07,-4.4
01-09-2019,22906.447800368136,CarGurus Index,27048,-0.8,-3.07,-4.4
03-10-2019,22537.15717418204,CarGurus Index,27048,-0.8,-3.07,-4.4
05-09-2019,22469.018504526717,CarGurus Index,27048,-0.8,-3.07,-4.4
07-08-2019,22684.68645564801,CarGurus Index,27048,-0.8,-3.07,-4.4
09-06-2019,22801.18397155963,CarGurus Index,27048,-0.8,-3.07,-4.4
11-05-2019,22913.172160654194,CarGurus Index,27048,-0.8,-3.07,-4.4
01-04-2020,22559.324484345103,CarGurus Index,27048,-0.8,-3.07,-4.4
03-04-2020,22147.764106459363,CarGurus Index,27048,-0.8,-3.07,-4.4
05-03-2020,22154.833003936008,CarGurus Index,27048,-0.8,-3.07,-4.4
07-02-2020,21707.456439764024,CarGurus Index,27048,-0.8,-3.07,-4.4
08-31-2020,22534.35109378956,CarGurus Index,27048,-0.8,-3.07,-4.4
10-30-2020,23856.040738455355,CarGurus Index,27048,-0.8,-3.07,-4.4
12-29-2020,23973.974899347028,CarGurus Index,27048,-0.8,-3.07,-4.4
02-27-2021,23679.3555012676,CarGurus Index,27048,-0.8,-3.07,-4.4
04-28-2021,24457.828173627364,CarGurus Index,27048,-0.8,-3.07,-4.4
06-27-2021,27527.11590770024,CarGurus Index,27048,-0.8,-3.07,-4.4
08-26-2021,29186.515115262144,CarGurus Index,27048,-0.8,-3.07,-4.4
10-25-2021,29823.301502085655,CarGurus Index,27048,-0.8,-3.07,-4.4
12-24-2021,31155.171180594716,CarGurus Index,27048,-0.8,-3.07,-4.4
02-22-2022,32051.688391267653,CarGurus Index,27048,-0.8,-3.07,-4.4
04-23-2022,31806.012627421005,CarGurus Index,27048,-0.8,-3.07,-4.4
06-22-2022,32011.283818945147,CarGurus Index,27048,-0.8,-3.07,-4.4
08-21-2022,32177.08293543005,CarGurus Index,27048,-0.8,-3.07,-4.4
